ScheduledMonth,AppointmentWeekday,PredictedVisits
1,0,1682.171089312898
1,1,1471.821783812534
1,2,1261.47247831217
1,3,1051.1231728118064
1,4,840.7738673114425
1,5,630.4245618110785
1,6,420.07525631071485
2,0,1768.6457043118892
2,1,1558.2963988115253
2,2,1347.9470933111616
2,3,1137.5977878107976
2,4,927.2484823104337
2,5,716.8991768100698
2,6,506.5498713097061
3,0,1855.1203193108804
3,1,1644.7710138105167
3,2,1434.4217083101528
3,3,1224.0724028097889
3,4,1013.723097309425
3,5,803.3737918090611
3,6,593.0244863086974
4,0,1941.5949343098719
4,1,1731.245628809508
4,2,1520.896323309144
4,3,1310.5470178087803
4,4,1100.1977123084162
4,5,889.8484068080523
4,6,679.4991013076886
5,0,2028.0695493088629
5,1,1817.7202438084992
5,2,1607.3709383081352
5,3,1397.0216328077715
5,4,1186.6723273074076
5,5,976.3230218070436
5,6,765.9737163066799
6,0,2114.5441643078543
6,1,1904.1948588074904
6,2,1693.8455533071265
6,3,1483.4962478067628
6,4,1273.1469423063988
6,5,1062.797636806035
6,6,852.4483313056712
7,0,2201.0187793068453
7,1,1990.6694738064816
7,2,1780.3201683061177
7,3,1569.970862805754
7,4,1359.62155730539
7,5,1149.2722518050261
7,6,938.9229463046624
8,0,2287.493394305837
8,1,2077.144088805473
8,2,1866.794783305109
8,3,1656.4454778047452
8,4,1446.0961723043813
8,5,1235.7468668040174
8,6,1025.3975613036537
9,0,2373.9680093048282
9,1,2163.618703804464
9,2,1953.2693983041004
9,3,1742.9200928037365
9,4,1532.5707873033725
9,5,1322.2214818030086
9,6,1111.872176302645
10,0,2460.4426243038192
10,1,2250.0933188034555
10,2,2039.7440133030916
10,3,1829.3947078027277
10,4,1619.0454023023638
10,5,1408.6960968019998
10,6,1198.3467913016361
11,0,2546.9172393028107
11,1,2336.5679338024465
11,2,2126.218628302083
11,3,1915.8693228017191
11,4,1705.520017301355
11,5,1495.170711800991
11,6,1284.8214063006276
12,0,2633.3918543018017
12,1,2423.042548801438
12,2,2212.6932433010743
12,3,2002.3439378007101
12,4,1791.9946323003464
12,5,1581.6453267999823
12,6,1371.2960212996186
